platform,launch_month,ad_category_id,dev_cost,marketing_cost,users_reached,downloads_or_accesses,avg_bounce_rate,cumulative_feedback_from_customers,city_id
PDF WhatsApp Push,2021-01-01,A001,236570,66060,23509,16319,0.5255,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
PDF WhatsApp Push,2021-02-01,A001,156865,99122,19472,17017,0.8253,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
PDF WhatsApp Push,2021-03-01,A001,242728,46087,8471,2891,0.6806,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
PDF WhatsApp Push,2021-04-01,A001,147695,78868,46796,15640,0.6617000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
PDF WhatsApp Push,2021-05-01,A001,325906,135644,16805,3231,0.769,"The site takes too long to load on average phones.
People didn’t wait around.",C005
PDF WhatsApp Push,2021-06-01,A001,248972,53225,35268,16551,0.45740000000000003,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C006
PDF WhatsApp Push,2021-07-01,A001,197235,36643,13329,6091,0.8301000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C007
PDF WhatsApp Push,2021-08-01,A001,188777,66727,39865,17866,0.7614,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C008
PDF WhatsApp Push,2021-09-01,A001,99033,41005,33272,28073,0.4338,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C009
PDF WhatsApp Push,2021-10-01,A001,221877,95697,47845,21517,0.7539,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C010
PDF WhatsApp Push,2021-11-01,A001,246923,46029,11397,5278,0.6718000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C001
PDF WhatsApp Push,2021-12-01,A001,106832,44226,37373,28240,0.4409,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C002
E-paper Mobile Web,2021-01-01,A003,195725,93646,40525,23092,0.6292,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C003
E-paper Mobile Web,2021-02-01,A003,225016,90603,29570,22651,0.6423000000000001,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C004
E-paper Mobile Web,2021-03-01,A003,99873,58731,23284,7898,0.4829,"Mixed feedback: some usability concerns, but high interest in WhatsApp format.",C005
